№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
;;Овощи консервированные прочие /;;;
879;40946;Артишоки сердцевины в масле 2,5кг (осн.пр.1,7кг) ж/б Prontofresco™ Greci Италия (КОД 40946) (+18°C);6х2,5кг;шт;2 930,12
;;;;;
880;72273;Лучок в уксусе 290гр/314мл (осн.пр.180 гр) ст/б IPOSEA™ Италия (КОД 72273) (+18°C);12х290гр;шт;182,74
;;Onions in Vinegar 0,290kg,  «IPOSEA» , Italy;;;
881;56370;Нут консервированный 400гр/425мл (осн.пр.240гр) ж/б Green Ray™ Россия (КОД 56370) (+18°С);12х400гр;шт;74,62
;;;;;
882;51887;Перец Халапеньо кольцами 3л/2,85кг (1,65кг осн.пр) ж/б Vitaland® Россия (КОД 51887) (+18°С);4х2,85кг;шт;438,4
;;;;;
;;Огурцы /;;;
883;19408;Огурцы корнишоны 3-6 см 580мл/540гр (осн.пр.290гр) ст/б Bonduelle™ Турция (КОД 19408) (+18°С);6х540гр;шт;209,03
;;;;;
884;45105;Огурцы корнишоны 3-6 см 720мл (350гр.осн.пр) х12, Delcoff™ Россия (КОД 45105) (+18°С);12*720мл;шт;114,05
;;;;;
885;46903;Огурцы корнишоны 3-6 см 720мл/670гр (335гр.осн.пр) ст/б Green Ray™ Россия (КОД 46903) (+18°С);8х670гр;шт;156,41
;;;;;
886;50280;"Огурцы маринованные 1,8кг(осн.пр.960гр) ""Дядя ваня"" Русское поле-Албаши (38394664)(КОД 50280)(+18°С)";6*1,8кг;шт;213,84
;;;;;
887;31015;Огурцы маринованные 6-9 см 9,7кг(осн.пр.5,6кг) ж/б Maysun® Mamminger Германия (КОД 31015)(+18°С);1х9,7кг;шт;1 632,96
;;;;;
888;52325;Огурцы маринованные 6-9 см 9,7кг(осн.пр.5,6кг) ж/б Wasta Konserven Германия (ГФ) (КОД 52325) (+18°С);9,7кг;шт;1 801,44
;;;;;
889;97097;Огурцы маринованные 6-9 см 9,7кг/10,2л (осн.пр. 5,6кг) ж/б Mamminger™ Германия (КОД 97097) (+18°С);1х9,7кг;шт;1 639,44
;;Marinated Cucumbers, 6-9сm, 9.7kg, tin, Mamminger, Germany;;;
890;17401;Огурцы маринованные 6-9см 680гр (осн.пр.340гр.) х8шт Sunfeel Россия (КОД 17401) (+18°С);8х680гр.;шт;97,2
;;;;;
891;97405;Огурцы маринованные 6-9см 680гр/720мл (осн.пр.350гр) ст/б Delcoff™ Россия (КОД 97405) (+18°С);12/8х680гр;шт;102,2
;;Marinated cucumbers, 6-9сm, 680g, glass, Delcoff;;;
892;53355;Огурцы резаные слайсами марин 1,8кг(осн.пр.1 кг)пакет х5/кор Традиции Вкуса (КОР) (КОД 53355) (0°С);5х1,8кг;кор;1 036,80
;;;;;
893;51505;Огурцы резаные слайсами марин 5х1,8кг/кор (осн.пр.5х1кг) Флорека Россия (КОР) (КОД 51505) (+18°С);5х1,8кг;кор;1 205,28
;;;;;
894;46768;Огурцы резаные слайсами марин.1,7кг (осн.пр.1кг) пакет Савон-К Россия (КОД 46768) (0°С);5х1,7кг;шт;249,9
;;;;;
;;Оливки Greko /;;;
895;51303;Оливки красные Халкидики 101/110 с/к 4,4кг (осн.пр.2,5кг) ж/б Греция (КОД 51303) (+18°С);4,4кг;шт;4 084,37
;;;;;
;;Оливки прочие /;;;
896;53261;Маслины б/к 280/320 3кг (осн пр 1,450кг) ж/б Heraclio Испания (КОД 53261) (+18°С);6х3кг;шт;928,62
;;;;;
897;47698;Маслины б/к 340/360 280гр (осн.пр.90гр) ж/б Ekoland™ Беларусь (КОД 47698) (+18°С);12х280гр.;шт;82,2
;;;;;
898;58791;Маслины б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Botanica™ Испания (КОД 58791) (+18°С);12х280гр;шт;72,58
;;;;;
899;59544;Маслины б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Донская Кухня™ Египет (КОД 59544) (+18°С);12х280гр;шт;86,64
;;;;;
900;56845;Маслины б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Знаток™ Испания (КОД 56845) (+18°С);12х280гр;шт;80,35
;;;;;
901;57844;Маслины Супер-гигант 60/80 с/к 3кг/3,2л (осн.пр.1,75кг) ж/б Federici™ Греция (КОД 57844) (+18°С);6х3кг;шт;1 463,94
;;;;;
902;60168;Маслины черные резаные 3кг (осн.пр.1,56кг) ж/б Delcoff™ Испания (КОД 60168) (+18°С);6х3кг;шт;767,2
;;;;;
903;59838;Оливки б/к 280/320 3100 мл (1500гр осн.пр.) ж/б Mamminger™ Египет (КОД 59838) (+18°С);6х3кг;шт;868,32
;;;;;
904;58790;Оливки б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Botanica™ Испания (КОД 58790) (+18°С);12х280гр;шт;80,35
;;;;;
905;60350;Оливки б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Донская Кухня™ Египет (КОД 60350) (+18°С);12х280гр;шт;87,67
;;;;;
906;57495;Оливки б/к 340/360 280гр/300мл (осн.пр.90гр) ж/б Прошу к столу!™ Беларусь (КОД 57495) (+18°С);12х280гр;шт;79,06
;;;;;
907;98232;Оливки б/к 340/360 280гр/300мл х12шт(осн.пр. 90гр) ж/б, Maysun®, Испания (КОД 98232) (+18°С);12*300мл;шт;79,7
;;Pitted green Olives, size 240/260, 300ml, tin, MaySun, Spain;;;
908;21116;Оливки б/к Ривьера 2,5кг (осн.пр.1,4кг) ж/б Prontofresco™ Greci Италия (КОД 21116)(+18°C);6х2,5кг;шт;2 372,46
;;;;;
909;56906;Оливки зеленые Халкидики с/к в мар101-110 3.15кг(осн.пр.2кг)ст/б Eco Greece Россия(КОД 56906)(+18°С);4х3,15кг;шт;2 523,31
;;;;;
910;45259;Оливки с/к Супергигант 820гр/850мл х12 (осн.пр 465гр) ж/б  Green Ray  Греция  (КОД 45259) (+18°С);12*820гр.;шт;476,8
;;;;;
911;56905;Оливки черные Каламата с/к в мар 111/120(?) 3.15кг (осн.пр.2кг) ст/б Eco Greece™ (КОД 56905) (+18°С);4х3,15кг;шт;2 913,28
;;;;;
;;Томаты прочие /;;;
912;14383;Томаты вяленые в масле 1,062л (осн.пр.430гр) х6 ст/б Italcarciofi Италия (КОД 14383) (+18°С);6х900гр;шт;965,52
;;"Sun-dried tomatoes, 900gx6, glass, ""ITALCARCIOFI"", Italy";;;
913;14384;Томаты вяленые в масле 1,7л (осн.пр.750гр) х6 ст/б Italcarciofi Италия (КОД 14384) (+18°С);6х1,6кг;шт;1 490,40
;;"Sun-dried tomatoes, 1,6kgx6, glass, ""ITALCARCIOFI"", Italy";;;
914;11648;Томаты маринованные 1800гр (осн.пр. 960гр) Дядя ваня™ Россия (КОД 11648) (+18°С);6*1,8кг;шт;253,68
;;;;;
915;40777;Томаты очищенные 2,5кг (осн.пр.1,5кг) ж/б Delcoff Италия (КОД 40777) (+18°С);6х2,5кг;шт;544,32
;;;;;
916;55667;Томаты очищенные в собственном соку целые 2,5кг(1,5кг осн.пр) ж/б Botanica Италия(КОД 55667)(+18°С);6х2,5кг;шт;559,86
;;;;;
917;59875;Томаты очищенные в томатном соку целые 2,5кг (1,5кг осн.пр) ж/б Cavesina™ Италия (КОД 59875) (+18°С);6х2,5кг;шт;539,1
;;;;;
918;55513;Томаты резаные в собственном соку 2,5кг(1,5кг осн.пр) Botanica® Италия (ПУ) (КОД 55513) (+18°С);6х2,5 кг;шт;548
;;;;;
919;53591;Томаты резаные в собственном соку 4,1кг ж/б Pomi® Италия (КОД 53591) (+18°С);3х4,1;шт;1 081,73
;;;;;
920;48483;Томаты черри марин. 680гр/720мл (осн.пр 340гр) ст/б Green Ray® Россия (КОД 48483) (+18°С);8х680гр;шт;100,73
;;;;;
921;17301;Томаты черри марин. 680гр/720мл (осн.пр 370гр) ст/б Скатерть-Самобранка Россия (КОД 17301) (+18°С);8х680гр;шт;117,94
;;;;;
;;Фасоль /;;;
922;58956;Фасоль белая в т/с 2,6кг (осн.пр.1,53кг) ж/б  Imma® Италия (КОД 58956) (+18°С);6х2,6кг;шт;588,72
;;;;;
923;58955;Фасоль белая в т/с 400гр (осн.пр.240гр) ж/б  Imma® Италия (КОД 58955) (+18°С);24х400гр;шт;102,44
;;;;;
924;58027;Фасоль белая в т/с 400гр/425мл (осн.пр.190гр) ж/б Globus™ Россия (КОД 58027) (+18°С);12х400гр;шт;103,75
;;;;;
925;45981;Фасоль белая сливочная 400гр/425мл (осн.пр. 240гр) Green Ray™ Италия (КОД 45981) (+18°С);12х400гр;шт;136,25
;;;;;
926;56399;Фасоль красная 3,1кг/3,1л (осн.пр. 1,65 кг) ж/б ГОСТ Донская кухня™ Россия (КОД 56399) (+18°С);6х3,1кг;шт;431,2
;;;;;
927;48058;Фасоль красная 360гр (осн.пр.180 гр) ж/б Ekoland™ Россия (КОД 48058) (+18°С);12х360гр;шт;50,54
;;;;;
928;59154;Фасоль красная 400гр(осн.пр.220 гр) ж/б ГОСТ Rean™ Россия (КОД 59154) (+18°С);12х400гр;шт;51,84
;;;;;
929;56755;Фасоль красная 400гр(осн.пр.220 гр) ж/б ГОСТ Прошу к столу!™ Россия (ПУ) (КОД 56755) (+18°С);12х400гр;шт;53,32
;;;;;
;;Фрукты и ягоды консервированные /;;;
;;Фрукты консервированные Delcof /;;;
930;45348;Груши половинки в сиропе 820гр/850мл (осн прод 460гр) ж/б Delcoff Китай (ПУ) (КОД 45348) (+18°С);12х820гр;шт;217,02
;;Pears in syrup (halves), Delcof, 850 ml;;;
;;Фрукты консервированные прочие /;;;
931;58386;Ананас кольца 3050гр/3100мл (осн.пр.1,65кг) ж/б Botanica™ Тайланд (КОД 58386) (+18°С);6х3050гр;шт;575,42
;;;;;
932;58979;Ананас кольца 3060гр/3100мл (осн.пр.1,79кг) ж/б  Prime™ Таиланд (КОД 58979) (+18°С);6х3060гр;шт;581,94
;;;;;
933;11222;Ананас кольца 565гр/580мл (осн.пр.300гр) ж/б Maysun™ Вьетнам (КОД 11222) (+18°С);24х565гр;шт;111,46
;;Pineapple slices, 580ml, tin, MAYSUN;;;
934;58978;Ананас кольца 565гр/580мл (осн.пр.340гр) ж/б  Prime™ Таиланд (КОД 58978) (+18°С);24х565гр;шт;130,45
;;;;;
935;48057;Ананас кольца 565гр/580мл (осн.пр.340гр) ж/б Ekoland Тайланд (КОД 48057) (+18°С);24*565гр.;шт;109,51
;;;;;
936;58976;Ананас кусочки 3060гр/3100мл (осн.пр.1,84кг) ж/б  Prime™ Таиланд (КОД 58976) (+18°С);6х3060гр;шт;564,1
;;;;;
937;56213;Вишня для коктейля красная с веточкой 680г/720мл(осн.пр.350г) ст/б Botanica Китай (ПУ) (КОД 56213)(+18°С);12х680гр;шт;329,18
;;;;;
938;15077;Груши половинки в сиропе 2,5кг/2,65л (осн.пр.1,5кг) ж/б Iska® Китай (КОД 15077) (+18°С);6х2,5кг;шт;524,88
;;Pears halves in syrup 6*2650 ml, iron pot, Belsun, China;;;
939;53093;Груши половинки в сиропе 3,1л/3кг (осн пр1,8кг) ж/б Прошу к столу! Китай (ПУ) (КОД 53093) (+18°С);6х3кг;шт;609,12
;;;;;
940;17218;Груши половинки в сиропе 3кг/3,1л (осн.прод.1,8кг) ж/б VITALAND Китай (КОД 17218) (+18°С);6х3кг;шт;614,62
;;;;;
941;51367;Груши половинки в сиропе консерв. 2,65л (осн.пр.1,5кг) х 6шт ж/б Sunfeel Китай (КОД 51367) (+18°С);6х2,5кг;шт;530,68
;;Pears halves in syrup , 2.65L, tin, Sunfeel, China;;;
942;58562;Личи в сиропе 567гр (осн.пр.230гр) ж/б Makanan™ Китай (КОД 58562) (+18°С);12х567гр;шт;286
;;;;;
943;85602;Мандарины дольки конс в сиропе 312гр/314мл (осн.пр.175гр) ж/б  Lutik™ Китай (КОД 85602) (+18°С);12х312гр;шт;123,2
;;;;;
944;60008;Персики половинки 3,1л/2,84кг (осн.пр.1.8кг) ж/б Botanica™ Китай (ПУ) (КОД 60008) (+18°С);6х2,84кг;шт;609,12
;;;;;
945;48962;Персики половинки 3,1л/3кг (осн.пр.1,8кг) ж/б Vitaland Китай (КОД 48962) (+18°С);6х3,1л;шт;717,98
;;;;;
946;31037;Персики половинки 3100мл (осн.пр.1800гр) ж/б, ISKA®, Китай (ПУ) (КОД 31037) (+18°С);6х3100мл;шт;605,02
;;;;;
947;45769;Персики половинки 850мл/820гр (осн.пр.460гр) х 12шт ж/б Rean™ Китай (КОД 45769) (+18°С);12х820гр;шт;167,18
;;;;;
948;99838;Персики половинки 850мл/820гр (осн.пр.460гр) х 12шт ж/б Прошу к столу!™ Китай (ПУ) (КОД 99838) (+18°С);12 х 850мл;шт;181,44
;;;;;
;;ж) Бакалея /;;;
;;Крупы /;;;
;;Гречка /;;;
949;99475;Гречка ядрица 800гр/шт х12 , Агрокультура™, Россия (КОД 99475) (+18°С);12х800гр;шт;85,67
;;;;;
950;59599;Гречка ядрица алтайская 3кг/пакет в/с ГОСТ Националь™ Россия (КОД 59599) (+18°С);4х3кг;шт;385,28
;;;;;
951;23094;Гречка ядрица Экстра 900гр/пакет высш/сорт ГОСТ Мистраль™ Россия (КОД 23094) (+18°С);12*900гр;шт;92,55
;;Buckwheat, 900g, Mistral, Russia;;;
952;11661;"Гречневая крупа Зеленая 450гр ""Мистраль"" Россия (КОД 11661) (+18°С)";12х450гр;шт;163,7
;;;;;
;;Крупы прочие /;;;
953;21230;Киноа зерна белые 450гр пакет Националь® Россия (КОД 21230) (+18°С);6х450гр;шт;184,55
;;;;;
954;98598;Киноа зерна белые и красные 500гр/пакет Мистраль™ Россия (КОД 98598) (+18°С);12х500гр;шт;360,98
;;;;;
955;51562;"Крупа полбы цельная янтарная Bravolli 350гр""Ярмарка"" Россия (КОД 51562) (+18°С)";11х350гр;шт;85,93
;;;;;
956;14447;Крупа пшеничная Булгур 500гр 10шт/кор пэт Bravolli Россия (КОД 14447) (+18°С);10х500 гр;шт;116,59
;;"Bulgur cereal ""Bravolli"", 500g, ""Yarmarka"", Turkey";;;
957;53357;Крупа пшеничная Кускус 450гр Националь® Ангстрем Трейдинг Россия (КОД 53357) (+18°С);6 х 450г;шт;124,32
