;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист для партнера ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист;;;;;;;;;;;;;;;;;;;;;;;;;
4 сентября 2023 г.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование товаров;Цена за ед.;;Кол-во в упаковке;Страна / Производитель;"Количество на 
складах";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
01. МЯСО, ПТИЦА И МЯСНАЯ ГАСТРОНОМИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
01.1 Мясная гастрономия;;;;;;;;;;;;;;;;;;;;;;;;;
"01.1.03 Мясные изедлия  ""Златиборац""";;;;;;;;;;;;;;;;;;;;;;;;;
			Сыр Гауда Биберленд (блок ~ 3,000 кг) упак. 3 шт. ~ 9 кг;548,94;кг;9;"ООО ""Данковский молочный завод"" (Россия)";46,691;;;;;;;;;;;;;;;;;;;;
"			Сыр творожный сливочный ""Чудское озеро"" ведро  (1,000 кг) упак.6 шт";465,58;шт;6;"РОССИЯ/АО ""ЛАКТИС"" (Россия)";6;;;;;;;;;;;;;;;;;;;;
			Сырные палочки Моцарелла в панировке (1,000 кг ) упак.10 шт;525,04;шт;10;"ООО ""ФРОСТА-А""";812;;;;;;;;;;;;;;;;;;;;
СЫРЫ ЮЖНОЙ АМЕРИКИ (КАЛКАР, ПАМПА ЧИЗ, REMOTTI);;;;;;;;;;;;;;;;;;;;;;;;;
СЫРЫ ПР-ВА АРГЕНТИНА, БРАЗИЛИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
"				Сыр Моцарелла ""Ла Паулина"" брус (~ 3,500 кг) упак.~ 21кг";736,44;кг;21;АРГЕНТИНА/Molfino Hnos S.A.;290,67;;;;;;;;;;;;;;;;;;;;
02.2. Сливки растительные;;;;;;;;;;;;;;;;;;;;;;;;;
		Кокосовое молоко  KARA 17%  ж/б  (0,400 мл) упак.24 шт Индонезия;172,43;шт;24;Индонезия;1;;;;;;;;;;;;;;;;;;;;
02.3 Молочные изделия;;;;;;;;;;;;;;;;;;;;;;;;;
МОЛОКО ДРУГИХ ПРОИЗВОДИТЕЛЕЙ:;;;;;;;;;;;;;;;;;;;;;;;;;
"			Молоко ""PARMALAT"" 3,5% жирности  (1,055 кг/1000 мл) кор. 12 шт.";109,73;шт;12;Белгородский молочный комбинат (Россия);4 650;;;;;;;;;;;;;;;;;;;;
"			Молоко ""Вкусняев"" 3,2% жирности  (1,055 кг/1000 мл) кор. 12 шт.";90,79;шт;12;Алабуга соте (Россия);966;;;;;;;;;;;;;;;;;;;;
"			Молоко Молочная речка  ультрапаст. ТВА ""Сарапул - Молоко"" 3,2% жирности (1000 мл) упак. 12 шт.";80,5;шт;12;Сарапул молоко;682;;;;;;;;;;;;;;;;;;;;
			Молоко питьевое ультрапастеризованное Эlakto 3,2% TBA  slim (1,27 кг/1,040 кг) упак 12 шт;76,94;шт;12;"РОССИЯ/ООО ""ЭГИДА ПОВОЛЖЬЕ"" (Россия)ООО ""ЭГИДА ПОВОЛЖЬЕ"" (Россия)";900;;;;;;;;;;;;;;;;;;;;
СЛИВКИ:;;;;;;;;;;;;;;;;;;;;;;;;;
"			Сливки ""Белый Город"" 10% жирности (0,500 кг/0,515 кг/500 мл) кор.24 шт.";116,11;шт;24;Белгородский молочный комбинат (Россия);180;;;;;;;;;;;;;;;;;;;;
