;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00005007;Креветки тигровые б/г 21/25 1 кг (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 081;РУБ;кор (10 шт);шт
УТ-00011602;Креветки тигровые б/г 26/30 1 кг (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;846;РУБ;кор (10 шт);шт
УТ-00020523;Креветки тигровые б/г 8/12 930 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 719;РУБ;кор (10 шт);шт
;Креветки тигровые в панцире с головой;;;;;;
УТ-00018232;Креветки тигровые с/г 11/15 (13/15) 1 кг (ТЕХ) с/м, Castlerock, Индия;;Индия;1 125;РУБ;кор (10 шт);шт
УТ-00020521;Креветки тигровые с/г 13/15 860 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 255;РУБ;кор (10 шт);шт
УТ-00014598;Креветки тигровые с/г 16/20 1 кг (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;976;РУБ;кор (10 шт);шт
УТ-00018233;Креветки тигровые с/г 16/20 1 кг (ТЕХ) с/м, Castlerock, Индия;;Индия;915;РУБ;кор (10 шт);шт
УТ-00020522;Креветки тигровые с/г 16/20 860 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;985;РУБ;кор (10 шт);шт
УТ-00020519;Креветки тигровые с/г 6/8 860 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 948;РУБ;кор (10 шт);шт
УТ-00020520;Креветки тигровые с/г 8/12 860 г без глазури (вес нетто 1 кг) (ТЕХ) с/м, ANCHOR, Бангладеш;;Бангладеш;1 421;РУБ;кор (10 шт);шт
;Креветки коктейльные в/м очищенные без головы;;;;;;
УТ-00021181;Креветки очищ. бланш б/х 200/300 1 кг (ТЕХ) с/м, Sango, Китай;;Китай;735;РУБ;кор (10 шт);шт
УТ-00014219;Креветки очищ. бланш б/х 200/300 1 кг (ТЕХ) с/м, Китай;;Китай;847;РУБ;кор (10 шт);шт
УТ-00009220;Креветки очищ. в/м 100/200 930 г без глазури (вес нетто 1 кг) (ТЕХ), ANCHOR, Бангладеш;;Бангладеш;837;РУБ;кор (10 шт);шт
;Креветки пивные в/м неочищенные с головой;;;;;;
СИ-00002484;Креветки северные в/м с/г 60/80 5 кг/кор, Магаданрыба, Россия;;Россия;7 471;РУБ;кор (1 шт);шт
СИ-00002662;Креветки северные в/м с/г 70/90 5 кг/кор, Гренландия, импортер Беларусь;;Гренландия, импортер Беларусь;5 882;РУБ;кор (1 шт);шт
;Креветки в панировке;;;;;;
УТ-00020417;Креветки очищ. б/х в панировке Панко 1 кг с/м, PS 01, the ONE, Россия;;Россия;720;РУБ;кор (10 шт);шт
УТ-00020498;Креветки очищ. б/х в панировке Панко с пряностями 1 кг с/м, PS01М, the ONE, Россия;;Россия;744;РУБ;кор (10 шт);шт
;Креветки ванамей в панцире без головы;;;;;;
УТ-00014539;Креветки ванамей б/г 16/20 1 кг (2) с/м, СОЮЗ МОРЕЙ, Россия;;Россия;642;РУБ;кор (10 шт);шт
СП-00002038;Креветки ванамей б/г 21/25 1 кг (ТЕХ) (Л) с/м, Gadre Marine Export, Индия;;Индия;906;РУБ;кор (10 шт);шт
;Креветки ванамей во льду;;;;;;
УТ-00020715;Креветки ванамей б/г 16/20 1,8 кг во льду (1) с/м, Veronica Marine Exports, Индия;;Индия;1 946;РУБ;кор (6 шт);шт
СП-00003347;Креветки ванамей б/г 21/25 1,8 кг во льду (1) (Л) с/м, 946, Fish&More, Индия;;Индия;1 597;РУБ;кор (6 шт);шт
УТ-00019302;Креветки ванамей б/г 21/25 1,8 кг во льду (1) с/м, Gadre Marine Export, Индия;;Индия;1 800;РУБ;кор (6 шт);шт
УТ-00019901;Креветки ванамей б/г 21/25 1,8 кг во льду (1) с/м, Veronica Marine Exports, Индия;;Индия;1 870;РУБ;кор (6 шт);шт
УТ-00021255;Креветки ванамей б/г 21/25 1,8 кг во льду (2) (л) с/м, Sandhya Marines Limited, Индия;;Индия;1 550;РУБ;кор (6 шт);шт
КР-00000025;Креветки ванамей б/г 21/25 1,8 кг ВО ЛЬДУ с/м Empacadoria BilboS.A. Bilbosa, Эквадор;;Эквадор;1 600;РУБ;кор (10 шт);шт
УТ-00019903;Креветки ванамей б/г 26/30 1,8 кг во льду (1) с/м, Veronica Marine Exports, Индия;;Индия;1 766;РУБ;кор (6 шт);шт
;Креветки ванамей с/м очищенные без хвоста;;;;;;
УТ-00020515;Креветки ванамей очищ. б/х 16/20 1 кг (ТЕХ) с/м, WAHYU PRADANA, Индонезия;;Индонезия;1 100;РУБ;кор (10 шт);шт
УТ-00013667;Креветки ванамей очищ. б/х 26/30 1 кг (ТЕХ) с/м, WAHYU PRADANA, Индонезия;;Индонезия;1 040;РУБ;кор (10 шт);шт
;Креветки ванамей с/м очищенные с хвостом;;;;;;
УТ-00018211;Креветки ванамей очищ. с/х 16/20 1 кг (ТЕХ) с/м, Blue Park, Индия;;Индия;1 112;РУБ;кор (10 шт);шт
УТ-00018229;Креветки ванамей очищ. с/х 21/25 1 кг с/м, Castlerock, Индия;;Индия;988;РУБ;кор (10 шт);шт
УТ-00021269;Креветки ванамей очищ. с/х 31/40 1 кг (ТЕХ) (л) с/м, ANJANEYA SEA FOODS, Индия;;Индия;855;РУБ;кор (10 шт);шт
УТ-00020163;Креветки ванамей очищ. с/х 31/40 1 кг (ТЕХ) с/м, ANJANEYA SEA FOODS, Индия;;Индия;770;РУБ;кор (10 шт);шт
;Морепродукты;;;;;;
;Морепродукты с/м;;;;;;
