Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Spirits;222042;_0,75Л ВИСКИ THE GENERATION ПУ;1;1200,8;1440,96;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;222711;_0,1Л ВОДКА БЕЛЕНЬКАЯ;1;87,41;104,89;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;222752;_0,1Л ВОДКА АРХАНГЕЛЬСКАЯ СЕВЕРНАЯ ВЫДЕРЖКА;1;95,37;114,44;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;222891;_0,5Л НАСТОЙКА СИББИТТЕР КЕДР;1;384,12;460,94;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;89185;_0,5 КОНЬЯК СТАРЫЙ КЕНИГСБЕРГ 5 ЛЕТ SB;1;532,88;639,46;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;222892;_0,5Л НАСТОЙКА БЕЛАЯ БЕРЕЗКА БЕЛЫЙ НАЛИВ;1;349,12;418,94;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;222892;_0,5Л НАСТОЙКА БЕЛАЯ БЕРЕЗКА БЕЛЫЙ НАЛИВ;1;349,12;418,94;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;222892;_0,5Л НАСТОЙКА БЕЛАЯ БЕРЕЗКА БЕЛЫЙ НАЛИВ;1;349,12;418,94;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;222893;_0,5Л НАСТОЙКА АРХАНГЕЛЬСКАЯ БРУСНИКА;1;349,12;418,94;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;222894;_0,5Л НАСТОЙКА АРХАНГЕЛЬСКАЯ ВИШНЯ;1;349,12;418,94;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;223182;_0,5Л КОНЬЯК КОКТЕБЕЛЬ 3 ГОДА;1;524,13;628,96;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;223182;_0,5Л КОНЬЯК КОКТЕБЕЛЬ 3 ГОДА;1;524,13;628,96;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;223182;_0,5Л КОНЬЯК КОКТЕБЕЛЬ 3 ГОДА;1;524,13;628,96;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;120104;_0,5Л ДЖИН ОУЛ БРИДЖ 40%;1;279,12;334,94;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;120104;_0,5Л ДЖИН ОУЛ БРИДЖ 40%;1;279,12;334,94;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;84667;_0,5 ВОДКА СЕВЕРНАЯ ЗЕМЛЯ;1;208,25;249,9;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;225412;_0,25Л ВОДКА ЦАРЬ;1;165,38;198,46;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;225414;_0,5Л ВОДКА ЦАРЬ;1;305,37;366,44;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;87023;_0,5 НАП СПИРТ ШЕРИДАНС;1;981,2;1177,44;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;87023;_0,5 НАП СПИРТ ШЕРИДАНС;1;981,2;1177,44;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;87023;_0,5 НАП СПИРТ ШЕРИДАНС;1;981,2;1177,44;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;227925;_0,1Л ВОДКА СТУЖА КЕДРОВАЯ;1;67,28;80,74;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;228585;_0,5Л ВОДКА РУССКИЙ ЛЁД;1;305,37;366,44;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;228588;_0,25Л ВОДКА РУССКИЙ ЛЁД;1;147,87;177,44;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;228589;_0,25Л КОНЬЯК НОЙ ТРАДИЦИОННЫЙ 3 ГОДА;1;497,88;597,46;14 Sept 2023;20 Sept 2023;
