Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114410;;;;Торт Морковный Smart Chef 12 порций 1680 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1099,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109181;;;;Торт наполеон п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;949,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109181;;;;Торт наполеон п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;949,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115224;;;;Торт Прага Smart Chef 12 порций 1440 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1319,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110741;;;;Торт Прага п/ф зам. Bocconto 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;519,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99975;;;;Торт Радуга 12 порций Россия Бенье 1800 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;1234,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114411;;;;Торт Тирамису Классический Smart Chef 12 порций 1440 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1199,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112214;;;;Жимолость зам. Россия 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;529,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112212;;;;Земляника зам. Россия 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;1;;;шт;;;2599,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
